loss,train_acc,val_acc,test_acc
6.788973325143478,0.5461664541977782,0.517756328537607,0.3922197434467373
3.359022180406785,0.7031050810417047,0.6853032234565652,0.5016731734523145
2.013655050094571,0.7680295028228009,0.7532325623747951,0.5306748466257669
1.2713597124416285,0.8367328355490803,0.8193407393917319,0.5662297824874511
0.8266162851779811,0.8845838645055546,0.8714259697687124,0.5790574456218628
0.5393563780579954,0.9035694773265344,0.8921872154434529,0.5630228667038483
0.3461238201292633,0.9246949553815335,0.9165907849207795,0.5620468488566648
0.23053481589710723,0.9568384629393553,0.9468220724822437,0.586447295036252
0.15595901109233812,0.9686304862502276,0.9588417410307777,0.5899330730619075
0.10885926056208657,0.9719085776725551,0.9624840648333637,0.5836586726157278
0.07428313284432754,0.9854762338371881,0.9775997086140958,0.5955103179029559
0.054007009876102394,0.9857494081223821,0.977781824804225,0.5980200780814278
0.039527007653726104,0.991759242396649,0.9837916590784921,0.5992749581706637
0.030315990618984424,0.9906665452558733,0.98433800764888,0.6026213050752928
0.02304846227354653,0.9905754871608086,0.9826989619377162,0.6029001673173452
0.020124796464437086,0.9911673647787288,0.9848843562192678,0.6058282208588958
0.015922719695318884,0.9950828628665088,0.988526680021854,0.6022030117122141
0.013531042950700685,0.99608450191222,0.9901657257330176,0.6017847183491355
0.011489834539249481,0.9966763795301402,0.990347841923147,0.6041550474065811
0.010097717529705619,0.9978146057184484,0.9918047714441813,0.6023424428332403
0.008587288255144083,0.9984520123839009,0.9927153523948279,0.6015058561070831
0.007460437292008517,0.9989528319067565,0.9925332362046986,0.602760736196319
0.006459671055895765,0.9989073028592241,0.9928974685849572,0.6017847183491355
0.005667101835358229,0.9993170642870152,0.9934438171553451,0.6029001673173452
0.005054242619090167,0.9993625933345475,0.9938080495356038,0.602760736196319
0.004568072095273207,0.9994991804771444,0.9943543981059916,0.6035973229224763
0.004150852698351642,0.9995902385722091,0.9941722819158623,0.6030395984383714
0.003836438862958067,0.9996357676197414,0.9947186304862502,0.6030395984383714
0.0035793959086729394,0.9996812966672737,0.9947186304862502,0.6031790295593976
0.003373750404144937,0.9997268257148061,0.9952649790566381,0.6030395984383714
0.0032064900586583076,0.9997268257148061,0.9952649790566381,0.6037367540435025
0.003060700168389663,0.9997268257148061,0.9952649790566381,0.6037367540435025
